Name,LTP:Last Trade Price,High,Low,CLOSEUP,YCP:Yesterday Closing Price,Change,Trade,Value,Volume
SILCOPHL,20.1,20.4,20.1,20.1,20.7,-0.6,206,6.306,"312,356"
BANKASIA,19.8,20.9,19.6,19.8,19.8,0,230,54.428,"2,652,359"
UTTARAFIN,19.6,20.7,19.6,19.7,20.2,-0.6,33,0.341,"17,291"
ACMEPL,19.6,20.4,19.6,19.6,20.2,-0.6,934,27.705,"1,396,565"
PRIMEBANK,19.2,19.4,19.1,19.2,19.6,-0.4,118,5.82,"304,158"
CITYBANK,18.9,19.3,18.9,18.9,19.3,-0.4,200,6.396,"337,155"
SHAHJABANK,18.9,18.9,18.5,18.9,18.9,0,59,4.354,"231,170"
PENINSULA,18.7,19.4,18.6,18.7,19.1,-0.4,173,1.979,"104,665"
METROSPIN,18.6,19.4,18.6,18.6,19.1,-0.5,328,6.426,"342,348"
MHSML,18.4,19,18.4,18.4,18.9,-0.5,50,1.002,"54,329"
GHAIL,17.8,18.5,16.9,17.8,16.9,0.9,"3,253",131.277,"7,454,314"
YPL,17.8,18.8,17.8,17.8,18.3,-0.5,300,3.351,"186,881"
LANKABAFIN,17.4,17.9,17.4,17.4,17.6,-0.2,257,8.013,"458,056"
SILVAPHL,17.4,18.1,17.3,17.4,17.8,-0.4,587,25.411,"1,451,786"
RELIANCE1,17.2,17.2,16,17.1,15.7,1.5,540,45.105,"2,685,033"
ARGONDENIM,16.8,17.3,16.8,16.8,17.3,-0.5,105,1.883,"111,735"
GLDNJMF,16.6,18.8,16.6,16.6,17.1,-0.5,"1,784",72.707,"4,020,820"
BDWELDING,16.5,17.8,16.5,16.5,17,-0.5,86,1.448,"87,552"
PRIMETEX,16.4,17.2,16.4,16.5,16.9,-0.5,46,0.762,"46,091"
BBS,16.3,16.9,16.3,16.3,16.8,-0.5,760,23.753,"1,449,312"
BPPL,16.2,16.6,16.2,16.2,16.6,-0.4,255,4.161,"255,582"
ALLTEX,16.1,16.4,16.1,16.1,16.5,-0.4,105,2.513,"155,562"
SAIHAMTEX,15.8,16.5,15.7,15.8,16,-0.2,250,14.221,"872,901"
RSRMSTEEL,15.8,16.2,15.7,15.7,16.1,-0.3,88,0.86,"54,665"
MIDLANDBNK,15.8,16.1,15.7,15.8,16,-0.2,261,19.594,"1,241,122"
IBP,15.7,16.2,15.7,15.7,16.1,-0.4,246,4.903,"311,035"
SAIHAMCOT,15.6,16.2,15.6,15.6,16,-0.4,505,24.198,"1,526,296"
RNSPIN,15.4,15.8,15,15.6,14.9,0.5,141,1.298,"84,431"
KTL,15.4,16.1,15.4,15.4,15.7,-0.3,831,24.682,"1,564,243"
QUEENSOUTH,15.3,15.8,15.3,15.3,15.7,-0.4,198,3.59,"233,590"
